"PRODNUMB","PRODNAME","ITEM_DESC","EPOS_GROUP","EPOS_SEQUENCE","COLOUR_RED","COLOUR_GREEN","COLOUR_BLUE"
"71","SIX  BITES","Six Bites","2","8","176","31","36"
"72","NINE BITES","Nine Bites","2","9","176","31","36"
"73","FRIES Lrg Go Lrg","Fries goLrg","0","0","176","31","36"
"75","7UP LEMON CAN","7 Up Can","10","15","176","31","36"
"76","CHOC SHKE KIDS","Choc Shk Kids","99","13","176","31","36"
"77","BLT SAMWICH","BLT Samwich","1","14","176","31","36"
"78","CHICKEN EL FUEGO","Chick El Fuego","2","5","176","31","36"
"81","HOT APPLE PIE","Hot Apple Pie","5","6","176","31","36"
"82","ONION RINGS 8","Onion Rings 8","5","4","176","31","36"
"83","BEAN BURGER","Bean Burger","3","3","176","31","36"
"84","BANANA SHKE KIDS","Banana Shk Kds","99","16","176","31","36"
"85","STRAWB SHKE KIDS","Strawb Shk Kds","99","12","176","31","36"
"86","VANILLA SHK KIDS","Vanila Shk ids","99","15","176","31","36"
"87","COFFEE     165","Coffee","11","33","176","31","36"
"90","CHICKEN BACN CHS","Chkn Bacn Chs","2","7","176","31","36"
"91","BOTTLED WATER","Bottled Water","10","16","176","31","36"
"92","VEGGIE DE-LUXE","Veggie DeLuxe","3","2","176","31","36"
"93","KIDS WATER","Kids Water","99","5","176","31","36"
"94","CHICKEN WRAP","Chicken Wrap","2","2","176","31","36"
"95","MOZARELA FINGERS","Mozarela Fingr","5","7","176","31","36"
"97","XTR BEAN PATTY","Xtr Bean Patty","98","15","176","31","36"
"99","CLASSIC COKE 500","Coke Bottle","10","14","176","31","36"
"100","XTR BBQ","Xtr BBQ","98","6","176","31","36"
"101","DIP 1000 ISLE","Dip 1000 Islnd","6","1","0","102","255"
"102","ONION RINGS 12","Onion Rings 12","5","5","176","31","36"
"104","DIP BLUECHEESE","Dip Blue Chese","6","3","176","31","36"
"105","DBL 1000 ISL BGR","Dbl 1000 Burg","0","0","176","31","36"
"107","XTR VGBACN","Xtr Veg Bacn","98","14","176","31","36"
"108","PLATTER 2nd dip","Platter 2nd dp","0","0","176","31","36"
"109","XTR 1000","Xtr 1000","98","5","176","31","36"
"110","DIP NONE","Dip none","6","5","176","31","36"
"111","XTR NONE","None","0","0","176","31","36"
"113","DBL TEXAN BURGER","Dbl Texan Bgr","0","0","176","31","36"
"115","CHICKN BBQ TEXAN","Chkn BBQ Texan","2","6","176","31","36"
"118","KIDS  4  BITES  ","Kids4BiteMeal","4","3","176","31","36"
"124","7UP LEMON 500m","7up Bottle","10","8","176","31","36"
"125","TANGO ORANGE 500","Tango Bottle","10","9","176","31","36"
"133","TEA         165","Tee","11","32","176","31","36"
"136","CHILLI  tub","Chilli Tub","6","6","176","31","36"
"138","DIET COKE 500ml","Diet Bottle","10","54","176","31","36"
"146","TOFFEE SHAKE","Toffee Shake","10","21","176","31","36"
"147","TOFFEE SK LARGE","Toffee Shk Lrg","10","26","176","31","36"
"148","TOFFEE SHK KIDS","Toffee Shk Kid","99","14","176","31","36"
"166","DELIVERY �2.50 ","Delivery  2.50","7","4","176","31","36"
"171","TRPL CHEESEBRGR","Trp Cheesebgr","0","0","176","31","36"
"172","TRPL ALLSTAR BRG","Trp Allstr Bgr","0","0","176","31","36"
"173","TRPL BACON CHEES","Trp Bcn Cheese","0","0","176","31","36"
"191","KIDS FRT-SH ORNG","Kid FSht Orng","99","6","176","31","36"
"194","KID FRT-SH A-BLC","Kid F-Shot Blk","99","7","176","31","36"
"195","KIDS CLASIC COKE","Kids Coke Can","99","1","176","31","36"
"200","SUPER SHAKE OREO","Super Shk Oreo","10","36","176","31","36"
"201","SUPER SHKE LOTUS","Supr Shk Lotus","10","37","176","31","36"
"202","SUPER SHKE FLAKE","Supr Shk Flake","10","38","176","31","36"
"207","SUPER MINT AERO","Super Shk Aero","10","39","176","31","36"
